Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
RB,Raheem Mostert,3000,SF@CHI 12/03/2017 01:00PM ET,0.182,SF
RB,Kyle Juszczyk,3000,SF@CHI 12/03/2017 01:00PM ET,3.867,SF
WR,Louis Murphy,3000,SF@CHI 12/03/2017 01:00PM ET,8.1,SF
WR,Victor Bolden Jr.,3000,SF@CHI 12/03/2017 01:00PM ET,0,SF
WR,Kendrick Bourne,3000,SF@CHI 12/03/2017 01:00PM ET,2.883,SF
WR,Trent Taylor,3000,SF@CHI 12/03/2017 01:00PM ET,5.49,SF
RB,Aaron Ripkowski,3000,TB@GB 12/03/2017 01:00PM ET,0.982,GB
RB,Joe Kerridge,3000,TB@GB 12/03/2017 01:00PM ET,0.65,GB
WR,Trevor Davis,3000,TB@GB 12/03/2017 01:00PM ET,0.427,GB
WR,Jeff Janis,3000,TB@GB 12/03/2017 01:00PM ET,0,GB
WR,Geronimo Allison,3000,TB@GB 12/03/2017 01:00PM ET,3.07,GB
WR,Freddie Martino,3000,TB@GB 12/03/2017 01:00PM ET,0,TB
WR,Chris Godwin,3000,TB@GB 12/03/2017 01:00PM ET,3.327,TB
RB,Matt Jones,3000,IND@JAX 12/03/2017 01:00PM ET,0.467,IND
RB,Josh Ferguson,3000,IND@JAX 12/03/2017 01:00PM ET,0.1,IND
RB,George Winn,3000,IND@JAX 12/03/2017 01:00PM ET,0,IND
WR,Chester Rogers,3000,IND@JAX 12/03/2017 01:00PM ET,6.967,IND
WR,Donte Moncrief,3000,IND@JAX 12/03/2017 01:00PM ET,6.218,IND
WR,Kamar Aiken,3000,IND@JAX 12/03/2017 01:00PM ET,2.71,IND
WR,Matt Hazel,3000,IND@JAX 12/03/2017 01:00PM ET,0.367,IND
RB,Corey Grant,3000,IND@JAX 12/03/2017 01:00PM ET,2.818,JAX
RB,Tommy Bohanon,3000,IND@JAX 12/03/2017 01:00PM ET,1.509,JAX
WR,Jaydon Mickens,3000,IND@JAX 12/03/2017 01:00PM ET,1.42,JAX
WR,Larry Pinkard,3000,IND@JAX 12/03/2017 01:00PM ET,0,JAX
RB,Andy Janovich,3000,DEN@MIA 12/03/2017 01:00PM ET,0.418,DEN
WR,Jordan Taylor,3000,DEN@MIA 12/03/2017 01:00PM ET,1.917,DEN
WR,Cody Latimer,3000,DEN@MIA 12/03/2017 01:00PM ET,4.688,DEN
WR,Isaiah McKenzie,3000,DEN@MIA 12/03/2017 01:00PM ET,0.225,DEN
DST,Broncos ,3000,DEN@MIA 12/03/2017 01:00PM ET,5.182,DEN
RB,Senorise Perry,3000,DEN@MIA 12/03/2017 01:00PM ET,0,MIA
WR,Jakeem Grant,3000,DEN@MIA 12/03/2017 01:00PM ET,0.318,MIA
WR,Rashawn Scott,3000,DEN@MIA 12/03/2017 01:00PM ET,0,MIA
WR,Leonte Carroo,3000,DEN@MIA 12/03/2017 01:00PM ET,1.39,MIA
WR,Isaiah Ford,3000,DEN@MIA 12/03/2017 01:00PM ET,0,MIA
RB,Trey Edmunds,3000,CAR@NO 12/03/2017 04:25PM ET,0.982,NO
RB,Jonathan Williams,3000,CAR@NO 12/03/2017 04:25PM ET,0,NO
RB,Zach Line,3000,CAR@NO 12/03/2017 04:25PM ET,0.214,NO
WR,Brandon Coleman,3000,CAR@NO 12/03/2017 04:25PM ET,5.709,NO
WR,Austin Carr,3000,CAR@NO 12/03/2017 04:25PM ET,0,NO
WR,Tommylee Lewis,3000,CAR@NO 12/03/2017 04:25PM ET,1.62,NO
WR,Willie Snead,3000,CAR@NO 12/03/2017 04:25PM ET,0.867,NO
RB,Alex Armah,3000,CAR@NO 12/03/2017 04:25PM ET,0,CAR
RB,Fozzy Whittaker,3000,CAR@NO 12/03/2017 04:25PM ET,1.914,CAR
WR,Brenton Bersin,3000,CAR@NO 12/03/2017 04:25PM ET,0.733,CAR
WR,Kaelin Clay,3000,CAR@NO 12/03/2017 04:25PM ET,1.775,CAR
WR,Damiere Byrd,3000,CAR@NO 12/03/2017 04:25PM ET,0.3,CAR
RB,Akeem Hunt,3000,KC@NYJ 12/03/2017 01:00PM ET,0.23,KC
RB,Anthony Sherman,3000,KC@NYJ 12/03/2017 01:00PM ET,0.509,KC
WR,Demarcus Robinson,3000,KC@NYJ 12/03/2017 01:00PM ET,2.855,KC
WR,Jehu Chesson,3000,KC@NYJ 12/03/2017 01:00PM ET,0.286,KC
WR,De'Anthony Thomas,3000,KC@NYJ 12/03/2017 01:00PM ET,3.464,KC
RB,Lawrence Thomas,3000,KC@NYJ 12/03/2017 01:00PM ET,0.956,NYJ
WR,JoJo Natson Jr.,3000,KC@NYJ 12/03/2017 01:00PM ET,0.45,NYJ
WR,Jalin Marshall,3000,KC@NYJ 12/03/2017 01:00PM ET,0,NYJ
WR,Lucky Whitehead,3000,KC@NYJ 12/03/2017 01:00PM ET,0,NYJ
WR,Chad Hansen,3000,KC@NYJ 12/03/2017 01:00PM ET,0.63,NYJ
WR,ArDarius Stewart,3000,KC@NYJ 12/03/2017 01:00PM ET,1.08,NYJ
RB,Jordan Todman,3000,HOU@TEN 12/03/2017 01:00PM ET,0,HOU
RB,Jay Prosch,3000,HOU@TEN 12/03/2017 01:00PM ET,0.355,HOU
WR,Braxton Miller,3000,HOU@TEN 12/03/2017 01:00PM ET,3.225,HOU
WR,Chris Thompson,3000,HOU@TEN 12/03/2017 01:00PM ET,0.363,HOU
WR,Cobi Hamilton,3000,HOU@TEN 12/03/2017 01:00PM ET,0,HOU
RB,David Fluellen,3000,HOU@TEN 12/03/2017 01:00PM ET,0.191,TEN
RB,Jalston Fowler,3000,HOU@TEN 12/03/2017 01:00PM ET,0.64,TEN
WR,Eric Weems,3000,HOU@TEN 12/03/2017 01:00PM ET,0.136,TEN
WR,Taywan Taylor,3000,HOU@TEN 12/03/2017 01:00PM ET,4.055,TEN
WR,Harry Douglas,3000,HOU@TEN 12/03/2017 01:00PM ET,1.8,TEN
RB,Danny Vitale,3000,CLE@LAC 12/03/2017 04:05PM ET,0.345,CLE
RB,Matthew Dayes,3000,CLE@LAC 12/03/2017 04:05PM ET,0.709,CLE
WR,James Wright,3000,CLE@LAC 12/03/2017 04:05PM ET,0,CLE
WR,Kenny Britt,3000,CLE@LAC 12/03/2017 04:05PM ET,6.288,CLE
WR,Rashard Higgins,3000,CLE@LAC 12/03/2017 04:05PM ET,4.18,CLE
WR,Ricardo Louis,3000,CLE@LAC 12/03/2017 04:05PM ET,5.291,CLE
WR,Bryce Treggs,3000,CLE@LAC 12/03/2017 04:05PM ET,2.083,CLE
WR,Sammie Coates,3000,CLE@LAC 12/03/2017 04:05PM ET,1.4,CLE
RB,Andre Williams,3000,CLE@LAC 12/03/2017 04:05PM ET,0.033,LAC
RB,Derek Watt,3000,CLE@LAC 12/03/2017 04:05PM ET,0.355,LAC
WR,Mike Williams,3000,CLE@LAC 12/03/2017 04:05PM ET,2.9,LAC
WR,Geremy Davis,3000,CLE@LAC 12/03/2017 04:05PM ET,0,LAC
RB,Justin Davis,3000,LAR@ARI 12/03/2017 04:25PM ET,0.033,LAR
RB,Lance Dunbar,3000,LAR@ARI 12/03/2017 04:25PM ET,1.55,LAR
WR,Pharoh Cooper,3000,LAR@ARI 12/03/2017 04:25PM ET,1.6,LAR
WR,Michael Thomas,3000,LAR@ARI 12/03/2017 04:25PM ET,0.733,LAR
WR,Tavon Austin,3000,LAR@ARI 12/03/2017 04:25PM ET,3.364,LAR
RB,D.J. Foster,3000,LAR@ARI 12/03/2017 04:25PM ET,4.9,ARI
RB,Elijhaa Penny,3000,LAR@ARI 12/03/2017 04:25PM ET,0.155,ARI
RB,T.J. Logan,3000,LAR@ARI 12/03/2017 04:25PM ET,0,ARI
WR,Chad Williams,3000,LAR@ARI 12/03/2017 04:25PM ET,2.033,ARI
WR,Brittan Golden,3000,LAR@ARI 12/03/2017 04:25PM ET,1.2,ARI
WR,Carlton Agudosi,3000,LAR@ARI 12/03/2017 04:25PM ET,0,ARI
RB,Jamize Olawale,3000,NYG@OAK 12/03/2017 04:25PM ET,2.186,OAK
RB,Paul Perkins,3000,NYG@OAK 12/03/2017 04:25PM ET,2.371,NYG
RB,Shane Smith,3000,NYG@OAK 12/03/2017 04:25PM ET,0,NYG
RB,Shane Vereen,3000,NYG@OAK 12/03/2017 04:25PM ET,5.782,NYG
WR,Travis Rudolph,3000,NYG@OAK 12/03/2017 04:25PM ET,2.52,NYG
WR,Kalif Raymond,3000,NYG@OAK 12/03/2017 04:25PM ET,0.275,NYG
